	A,After,All,Although,American,An,And,think,this,thought,time,to,told,ought,place,see,seen,shall,should,so,no,not,of,on,one,or,took,upon,was,we,were,what,struck,that,the,there,these,they,me,meeting,must,my,myself,never,is,it,know,long,man,may,he,her,him,his,if,in,and,are,as,at,be,been,for,from,give,had,has,have,God,He,His,History,How,I,when,will,with,would,you,your,As,At,But,Court,Even,For,From,by,can,certain,could,do,doubt,first,University,a,all,also,am,an
University	115110,115110,27677,27677,37720,37720,37946,37946,51567,51567,31581,31581,100968,100968,93379,93379,458050,458050,296480,296480,0,0,41925,41925,51094,51094,42831,42831,48514,48514,291638,291638,36577,36577,32522,32522,65826,65826,2504954,2504954,45256,45256,669591,669591,37650,37650,41645,41645,218169,218169,47995,47995,191166,191166,45829,45829,54913,54913,68956,68956,115283,115283,106061,106061,110936,110936,61322,61322,100358,100358,83892,83892,96392,96392,1166502,1166502,75174,75174,87611,87611,42271,42271,51323,51323,206295,206295,48036,48036,1508802,1508802,105849,105849,45210,45210,69719,69719,59337,59337,70241,70241,321725,321725,159757,159757,210934,210934,46043,46043,61296,61296,53473,53473,59853,59853,43793,43793,424073,424073,48499,48499,70810,70810,88377,88377,53494,53494,1210072,1210072,372637,372637,1072391,1072391,69878,69878,55327,55327,26346,26346,165437,165437,65650,65650,50042,50042,54359,54359,50480,50480,54263,54263,70173,70173,64533,64533,1449255,1449255,1498420,1498420,80861,80861,41374,41374,64800,64800,66765,66765,113645,113645,58142,58142,80947,80947,524299,524299,66874,66874,60290,60290,61355,61355,197986,197986,68062,68062,39138,39138,54536,54536,44573,44573,65092,65092,106133,106133,97567,97567,166782,166782,41354,41354
a	115110,115110,27677,27677,37720,37720,37946,37946,51567,51567,31581,31581,100968,100968,93379,93379,458050,458050,296480,296480,0,0,41925,41925,51094,51094,42831,42831,48514,48514,291638,291638,36577,36577,32522,32522,65826,65826,2504954,2504954,45256,45256,669591,669591,37650,37650,41645,41645,218169,218169,47995,47995,191166,191166,45829,45829,54913,54913,68956,68956,115283,115283,106061,106061,110936,110936,61322,61322,100358,100358,83892,83892,96392,96392,1166502,1166502,75174,75174,87611,87611,42271,42271,51323,51323,206295,206295,48036,48036,1508802,1508802,105849,105849,45210,45210,69719,69719,59337,59337,70241,70241,321725,321725,159757,159757,210934,210934,46043,46043,61296,61296,53473,53473,59853,59853,43793,43793,424073,424073,48499,48499,70810,70810,88377,88377,53494,53494,1210072,1210072,372637,372637,1072391,1072391,69878,69878,55327,55327,26346,26346,165437,165437,65650,65650,50042,50042,54359,54359,50480,50480,54263,54263,70173,70173,64533,64533,1449255,1449255,1498420,1498420,80861,80861,41374,41374,64800,64800,66765,66765,113645,113645,58142,58142,80947,80947,524299,524299,66874,66874,60290,60290,61355,61355,197986,197986,68062,68062,39138,39138,54536,54536,44573,44573,65092,65092,106133,106133,97567,97567,166782,166782,41354,41354
all	121571,121571,30366,30366,42675,42675,46651,46651,63936,63936,36598,36598,98633,98633,90890,90890,459553,459553,277343,277343,41925,41925,0,0,47705,47705,54344,54344,54423,54423,294011,294011,40994,40994,43929,43929,62359,62359,2485463,2485463,54787,54787,668222,668222,35879,35879,38502,38502,225868,225868,47244,47244,191851,191851,40674,40674,52812,52812,71835,71835,107984,107984,94496,94496,116969,116969,55613,55613,101301,101301,80061,80061,93981,93981,1168469,1168469,77891,77891,85008,85008,41860,41860,47478,47478,190604,190604,52211,52211,1505815,1505815,91290,91290,39807,39807,62526,62526,54558,54558,47216,47216,326232,326232,162750,162750,209951,209951,46726,46726,58129,58129,55994,55994,53232,53232,44886,44886,436110,436110,43402,43402,60797,60797,87120,87120,48867,48867,1204391,1204391,364262,364262,1074636,1074636,66719,66719,49900,49900,31759,31759,161272,161272,71741,71741,51865,51865,45060,45060,44705,44705,53130,53130,62420,62420,69962,69962,1445622,1445622,1500739,1500739,74848,74848,40105,40105,54785,54785,63034,63034,109448,109448,49021,49021,85380,85380,517762,517762,63973,63973,56615,56615,57954,57954,201839,201839,54287,54287,34367,34367,48037,48037,43646,43646,55477,55477,97656,97656,84842,84842,158999,158999,36835,36835
also	121571,121571,30366,30366,42675,42675,46651,46651,63936,63936,36598,36598,98633,98633,90890,90890,459553,459553,277343,277343,41925,41925,0,0,47705,47705,54344,54344,54423,54423,294011,294011,40994,40994,43929,43929,62359,62359,2485463,2485463,54787,54787,668222,668222,35879,35879,38502,38502,225868,225868,47244,47244,191851,191851,40674,40674,52812,52812,71835,71835,107984,107984,94496,94496,116969,116969,55613,55613,101301,101301,80061,80061,93981,93981,1168469,1168469,77891,77891,85008,85008,41860,41860,47478,47478,190604,190604,52211,52211,1505815,1505815,91290,91290,39807,39807,62526,62526,54558,54558,47216,47216,326232,326232,162750,162750,209951,209951,46726,46726,58129,58129,55994,55994,53232,53232,44886,44886,436110,436110,43402,43402,60797,60797,87120,87120,48867,48867,1204391,1204391,364262,364262,1074636,1074636,66719,66719,49900,49900,31759,31759,161272,161272,71741,71741,51865,51865,45060,45060,44705,44705,53130,53130,62420,62420,69962,69962,1445622,1445622,1500739,1500739,74848,74848,40105,40105,54785,54785,63034,63034,109448,109448,49021,49021,85380,85380,517762,517762,63973,63973,56615,56615,57954,57954,201839,201839,54287,54287,34367,34367,48037,48037,43646,43646,55477,55477,97656,97656,84842,84842,158999,158999,36835,36835
am	95062,95062,34019,34019,41956,41956,42604,42604,60685,60685,40369,40369,78196,78196,68565,68565,441592,441592,257500,257500,51094,51094,47705,47705,0,0,50463,50463,62954,62954,267240,267240,48847,48847,44898,44898,71254,71254,2464228,2464228,57894,57894,653615,653615,46334,46334,52045,52045,225367,225367,58925,58925,167172,167172,56911,56911,53931,53931,62776,62776,116791,116791,109667,109667,121130,121130,68896,68896,119386,119386,91100,91100,102740,102740,1185420,1185420,83474,83474,61615,61615,46631,46631,64803,64803,182019,182019,68224,68224,1489842,1489842,99437,99437,58266,58266,68459,68459,62033,62033,72915,72915,294701,294701,132591,132591,206310,206310,59935,59935,70858,70858,63259,63259,68199,68199,64233,64233,424735,424735,61433,61433,78496,78496,103289,103289,64150,64150,1219398,1219398,364565,364565,1041427,1041427,57958,57958,53947,53947,47556,47556,178329,178329,77588,77588,69520,69520,62159,62159,60420,60420,64685,64685,68749,68749,81107,81107,1427793,1427793,1475480,1475480,86925,86925,45158,45158,72092,72092,73273,73273,99373,99373,62444,62444,86105,86105,489743,489743,79976,79976,76738,76738,76653,76653,172450,172450,68006,68006,48984,48984,60630,60630,56129,56129,71734,71734,88345,88345,98389,98389,162400,162400,53760,53760
an	95062,95062,34019,34019,41956,41956,42604,42604,60685,60685,40369,40369,78196,78196,68565,68565,441592,441592,257500,257500,51094,51094,47705,47705,0,0,50463,50463,62954,62954,267240,267240,48847,48847,44898,44898,71254,71254,2464228,2464228,57894,57894,653615,653615,46334,46334,52045,52045,225367,225367,58925,58925,167172,167172,56911,56911,53931,53931,62776,62776,116791,116791,109667,109667,121130,121130,68896,68896,119386,119386,91100,91100,102740,102740,1185420,1185420,83474,83474,61615,61615,46631,46631,64803,64803,182019,182019,68224,68224,1489842,1489842,99437,99437,58266,58266,68459,68459,62033,62033,72915,72915,294701,294701,132591,132591,206310,206310,59935,59935,70858,70858,63259,63259,68199,68199,64233,64233,424735,424735,61433,61433,78496,78496,103289,103289,64150,64150,1219398,1219398,364565,364565,1041427,1041427,57958,57958,53947,53947,47556,47556,178329,178329,77588,77588,69520,69520,62159,62159,60420,60420,64685,64685,68749,68749,81107,81107,1427793,1427793,1475480,1475480,86925,86925,45158,45158,72092,72092,73273,73273,99373,99373,62444,62444,86105,86105,489743,489743,79976,79976,76738,76738,76653,76653,172450,172450,68006,68006,48984,48984,60630,60630,56129,56129,71734,71734,88345,88345,98389,98389,162400,162400,53760,53760
and	105279,105279,34736,34736,44967,44967,37099,37099,60554,60554,41348,41348,92481,92481,76446,76446,442683,442683,272707,272707,42831,42831,54344,54344,50463,50463,0,0,64601,64601,281279,281279,52500,52500,41503,41503,64925,64925,2477787,2477787,56043,56043,658334,658334,47009,47009,54012,54012,214622,214622,61712,61712,177773,177773,57046,57046,64374,64374,66513,66513,109026,109026,106994,106994,103069,103069,69469,69469,115561,115561,97047,97047,106883,106883,1182485,1182485,69759,69759,69328,69328,52918,52918,61614,61614,200238,200238,63555,63555,1495005,1495005,117286,117286,58841,58841,82802,82802,72446,72446,78810,78810,311262,311262,135042,135042,221683,221683,60828,60828,60479,60479,70016,70016,69664,69664,57528,57528,411310,411310,60336,60336,86085,86085,85672,85672,65813,65813,1227869,1227869,383556,383556,1067404,1067404,55461,55461,64750,64750,43867,43867,177676,177676,64053,64053,65449,65449,62834,62834,63335,63335,62050,62050,77904,77904,66238,66238,1430916,1430916,1484923,1484923,98404,98404,47709,47709,77175,77175,79180,79180,117416,117416,58873,58873,79900,79900,501826,501826,71213,71213,58789,58789,58766,58766,180255,180255,80513,80513,48055,48055,66095,66095,58366,58366,66461,66461,96586,96586,91976,91976,175849,175849,54987,54987
are	105279,105279,34736,34736,44967,44967,37099,37099,60554,60554,41348,41348,92481,92481,76446,76446,442683,442683,272707,272707,42831,42831,54344,54344,50463,50463,0,0,64601,64601,281279,281279,52500,52500,41503,41503,64925,64925,2477787,2477787,56043,56043,658334,658334,47009,47009,54012,54012,214622,214622,61712,61712,177773,177773,57046,57046,64374,64374,66513,66513,109026,109026,106994,106994,103069,103069,69469,69469,115561,115561,97047,97047,106883,106883,1182485,1182485,69759,69759,69328,69328,52918,52918,61614,61614,200238,200238,63555,63555,1495005,1495005,117286,117286,58841,58841,82802,82802,72446,72446,78810,78810,311262,311262,135042,135042,221683,221683,60828,60828,60479,60479,70016,70016,69664,69664,57528,57528,411310,411310,60336,60336,86085,86085,85672,85672,65813,65813,1227869,1227869,383556,383556,1067404,1067404,55461,55461,64750,64750,43867,43867,177676,177676,64053,64053,65449,65449,62834,62834,63335,63335,62050,62050,77904,77904,66238,66238,1430916,1430916,1484923,1484923,98404,98404,47709,47709,77175,77175,79180,79180,117416,117416,58873,58873,79900,79900,501826,501826,71213,71213,58789,58789,58766,58766,180255,180255,80513,80513,48055,48055,66095,66095,58366,58366,66461,66461,96586,96586,91976,91976,175849,175849,54987,54987
as	105538,105538,44861,44861,45738,45738,56764,56764,68561,68561,45545,45545,93244,93244,93203,93203,480500,480500,284802,284802,48514,48514,54423,54423,62954,62954,64601,64601,0,0,274580,274580,41381,41381,53288,53288,68144,68144,2486434,2486434,63948,63948,646019,646019,46518,46518,52575,52575,213693,213693,57169,57169,183454,183454,50587,50587,62089,62089,77844,77844,107429,107429,114157,114157,130374,130374,60318,60318,121284,121284,93286,93286,93052,93052,1188052,1188052,95306,95306,88531,88531,53241,53241,58307,58307,201511,201511,51580,51580,1499528,1499528,102689,102689,54122,54122,71049,71049,54425,54425,77813,77813,313939,313939,156957,156957,205408,205408,56401,56401,71836,71836,51797,51797,66497,66497,50875,50875,447059,447059,59141,59141,70978,70978,99607,99607,58584,58584,1223322,1223322,361981,361981,1062889,1062889,73134,73134,65145,65145,46784,46784,167189,167189,86774,86774,68662,68662,65005,65005,61780,61780,60219,60219,73467,73467,89493,89493,1449727,1449727,1487464,1487464,92781,92781,50952,50952,76006,76006,74395,74395,108763,108763,72088,72088,101323,101323,490523,490523,77720,77720,76256,76256,77481,77481,186184,186184,76394,76394,48528,48528,64180,64180,57371,57371,71298,71298,109787,109787,103341,103341,150678,150678,50530,50530
at	105538,105538,44861,44861,45738,45738,56764,56764,68561,68561,45545,45545,93244,93244,93203,93203,480500,480500,284802,284802,48514,48514,54423,54423,62954,62954,64601,64601,0,0,274580,274580,41381,41381,53288,53288,68144,68144,2486434,2486434,63948,63948,646019,646019,46518,46518,52575,52575,213693,213693,57169,57169,183454,183454,50587,50587,62089,62089,77844,77844,107429,107429,114157,114157,130374,130374,60318,60318,121284,121284,93286,93286,93052,93052,1188052,1188052,95306,95306,88531,88531,53241,53241,58307,58307,201511,201511,51580,51580,1499528,1499528,102689,102689,54122,54122,71049,71049,54425,54425,77813,77813,313939,313939,156957,156957,205408,205408,56401,56401,71836,71836,51797,51797,66497,66497,50875,50875,447059,447059,59141,59141,70978,70978,99607,99607,58584,58584,1223322,1223322,361981,361981,1062889,1062889,73134,73134,65145,65145,46784,46784,167189,167189,86774,86774,68662,68662,65005,65005,61780,61780,60219,60219,73467,73467,89493,89493,1449727,1449727,1487464,1487464,92781,92781,50952,50952,76006,76006,74395,74395,108763,108763,72088,72088,101323,101323,490523,490523,77720,77720,76256,76256,77481,77481,186184,186184,76394,76394,48528,48528,64180,64180,57371,57371,71298,71298,109787,109787,103341,103341,150678,150678,50530,50530
be	250074,250074,280065,280065,286952,286952,280530,280530,285465,285465,282719,282719,253098,253098,241253,241253,571168,571168,287184,287184,291638,291638,294011,294011,267240,267240,281279,281279,274580,274580,0,0,273109,273109,291594,291594,295124,295124,2257842,2257842,284946,284946,652775,652775,292770,292770,297987,297987,384923,384923,298537,298537,281600,281600,300869,300869,297315,297315,288648,288648,321825,321825,307095,307095,320314,320314,309958,309958,349796,349796,306352,306352,323878,323878,1419320,1419320,297038,297038,269373,269373,290723,290723,315293,315293,314731,314731,301964,301964,1584452,1584452,284799,284799,296960,296960,292439,292439,287987,287987,310381,310381,379659,379659,314273,314273,333422,333422,306455,306455,297022,297022,289709,289709,306821,306821,303981,303981,569665,569665,303441,303441,303326,303326,328881,328881,296212,296212,1435054,1435054,494361,494361,1010369,1010369,271908,271908,286071,286071,297674,297674,361151,361151,301516,301516,305128,305128,299215,299215,296080,296080,297015,297015,300183,300183,326997,326997,1551949,1551949,1334436,1334436,296675,296675,295184,295184,302418,302418,315157,315157,297479,297479,293038,293038,292637,292637,497993,497993,310398,310398,323246,323246,322973,322973,313672,313672,302838,302838,300242,300242,301850,301850,302343,302343,305996,305996,291259,291259,320573,320573,331640,331640,298324,298324
been	250074,250074,280065,280065,286952,286952,280530,280530,285465,285465,282719,282719,253098,253098,241253,241253,571168,571168,287184,287184,291638,291638,294011,294011,267240,267240,281279,281279,274580,274580,0,0,273109,273109,291594,291594,295124,295124,2257842,2257842,284946,284946,652775,652775,292770,292770,297987,297987,384923,384923,298537,298537,281600,281600,300869,300869,297315,297315,288648,288648,321825,321825,307095,307095,320314,320314,309958,309958,349796,349796,306352,306352,323878,323878,1419320,1419320,297038,297038,269373,269373,290723,290723,315293,315293,314731,314731,301964,301964,1584452,1584452,284799,284799,296960,296960,292439,292439,287987,287987,310381,310381,379659,379659,314273,314273,333422,333422,306455,306455,297022,297022,289709,289709,306821,306821,303981,303981,569665,569665,303441,303441,303326,303326,328881,328881,296212,296212,1435054,1435054,494361,494361,1010369,1010369,271908,271908,286071,286071,297674,297674,361151,361151,301516,301516,305128,305128,299215,299215,296080,296080,297015,297015,300183,300183,326997,326997,1551949,1551949,1334436,1334436,296675,296675,295184,295184,302418,302418,315157,315157,297479,297479,293038,293038,292637,292637,497993,497993,310398,310398,323246,323246,322973,322973,313672,313672,302838,302838,300242,300242,301850,301850,302343,302343,305996,305996,291259,291259,320573,320573,331640,331640,298324,298324
by	99779,99779,32918,32918,39995,39995,41951,41951,51946,51946,33950,33950,89587,89587,77386,77386,467449,467449,278145,278145,36577,36577,40994,40994,48847,48847,52500,52500,41381,41381,273109,273109,0,0,39113,39113,63813,63813,2483875,2483875,44219,44219,650638,650638,37469,37469,44046,44046,214268,214268,44428,44428,173651,173651,43990,43990,49996,49996,66271,66271,109728,109728,112986,112986,115315,115315,56859,56859,107623,107623,87525,87525,93521,93521,1176597,1176597,75043,75043,84150,84150,44580,44580,51400,51400,201978,201978,53003,53003,1499409,1499409,91204,91204,43925,43925,59514,59514,44634,44634,69464,69464,307392,307392,154704,154704,197435,197435,51044,51044,65213,65213,47322,47322,57364,57364,41466,41466,434026,434026,50854,50854,61357,61357,83034,83034,52677,52677,1209851,1209851,360854,360854,1056356,1056356,67205,67205,54564,54564,36909,36909,162916,162916,68357,68357,58363,58363,56720,56720,51655,51655,54254,54254,65146,65146,75440,75440,1433664,1433664,1491377,1491377,72456,72456,41217,41217,65857,65857,68476,68476,97250,97250,52205,52205,88194,88194,503136,503136,64761,64761,64979,64979,65252,65252,189607,189607,66059,66059,39531,39531,57229,57229,50806,50806,64413,64413,101764,101764,97140,97140,155319,155319,42701,42701
can	99779,99779,32918,32918,39995,39995,41951,41951,51946,51946,33950,33950,89587,89587,77386,77386,467449,467449,278145,278145,36577,36577,40994,40994,48847,48847,52500,52500,41381,41381,273109,273109,0,0,39113,39113,63813,63813,2483875,2483875,44219,44219,650638,650638,37469,37469,44046,44046,214268,214268,44428,44428,173651,173651,43990,43990,49996,49996,66271,66271,109728,109728,112986,112986,115315,115315,56859,56859,107623,107623,87525,87525,93521,93521,1176597,1176597,75043,75043,84150,84150,44580,44580,51400,51400,201978,201978,53003,53003,1499409,1499409,91204,91204,43925,43925,59514,59514,44634,44634,69464,69464,307392,307392,154704,154704,197435,197435,51044,51044,65213,65213,47322,47322,57364,57364,41466,41466,434026,434026,50854,50854,61357,61357,83034,83034,52677,52677,1209851,1209851,360854,360854,1056356,1056356,67205,67205,54564,54564,36909,36909,162916,162916,68357,68357,58363,58363,56720,56720,51655,51655,54254,54254,65146,65146,75440,75440,1433664,1433664,1491377,1491377,72456,72456,41217,41217,65857,65857,68476,68476,97250,97250,52205,52205,88194,88194,503136,503136,64761,64761,64979,64979,65252,65252,189607,189607,66059,66059,39531,39531,57229,57229,50806,50806,64413,64413,101764,101764,97140,97140,155319,155319,42701,42701
certain	107894,107894,28313,28313,38814,38814,34732,34732,38537,38537,20179,20179,104074,104074,81707,81707,453840,453840,300464,300464,32522,32522,43929,43929,44898,44898,41503,41503,53288,53288,291594,291594,39113,39113,0,0,69234,69234,2501960,2501960,17158,17158,667423,667423,37536,37536,45019,45019,224683,224683,48803,48803,177318,177318,47543,47543,55955,55955,72098,72098,119241,119241,111069,111069,117096,117096,59762,59762,105962,105962,91666,91666,101518,101518,1171504,1171504,76068,76068,73069,73069,42461,42461,49837,49837,211751,211751,56082,56082,1512800,1512800,115863,115863,46062,46062,69403,69403,59749,59749,74365,74365,307331,307331,151483,151483,223006,223006,53297,53297,62702,62702,59117,59117,61395,61395,46975,46975,410047,410047,51763,51763,71674,71674,93061,93061,56352,56352,1216132,1216132,382997,382997,1064515,1064515,58642,58642,51517,51517,34576,34576,165097,165097,63886,63886,57166,57166,55067,55067,52050,52050,56201,56201,66733,66733,64351,64351,1457027,1457027,1499536,1499536,91505,91505,32674,32674,72678,72678,74151,74151,109597,109597,59732,59732,91007,91007,521575,521575,67392,67392,59216,59216,61721,61721,194048,194048,74102,74102,39360,39360,59022,59022,51257,51257,64598,64598,101313,101313,99967,99967,173212,173212,41972,41972
could	107894,107894,28313,28313,38814,38814,34732,34732,38537,38537,20179,20179,104074,104074,81707,81707,453840,453840,300464,300464,32522,32522,43929,43929,44898,44898,41503,41503,53288,53288,291594,291594,39113,39113,0,0,69234,69234,2501960,2501960,17158,17158,667423,667423,37536,37536,45019,45019,224683,224683,48803,48803,177318,177318,47543,47543,55955,55955,72098,72098,119241,119241,111069,111069,117096,117096,59762,59762,105962,105962,91666,91666,101518,101518,1171504,1171504,76068,76068,73069,73069,42461,42461,49837,49837,211751,211751,56082,56082,1512800,1512800,115863,115863,46062,46062,69403,69403,59749,59749,74365,74365,307331,307331,151483,151483,223006,223006,53297,53297,62702,62702,59117,59117,61395,61395,46975,46975,410047,410047,51763,51763,71674,71674,93061,93061,56352,56352,1216132,1216132,382997,382997,1064515,1064515,58642,58642,51517,51517,34576,34576,165097,165097,63886,63886,57166,57166,55067,55067,52050,52050,56201,56201,66733,66733,64351,64351,1457027,1457027,1499536,1499536,91505,91505,32674,32674,72678,72678,74151,74151,109597,109597,59732,59732,91007,91007,521575,521575,67392,67392,59216,59216,61721,61721,194048,194048,74102,74102,39360,39360,59022,59022,51257,51257,64598,64598,101313,101313,99967,99967,173212,173212,41972,41972
do	139350,139350,55035,55035,56240,56240,65592,65592,86293,86293,56569,56569,93912,93912,108967,108967,488782,488782,287378,287378,65826,65826,62359,62359,71254,71254,64925,64925,68144,68144,295124,295124,63813,63813,69234,69234,0,0,2473380,2473380,79984,79984,676551,676551,59360,59360,60963,60963,246859,246859,67107,67107,202150,202150,61067,61067,70067,70067,94474,94474,91983,91983,130141,130141,141868,141868,58142,58142,126608,126608,100084,100084,98278,98278,1190532,1190532,104216,104216,102843,102843,65341,65341,62577,62577,219461,219461,71290,71290,1504204,1504204,114983,114983,60256,60256,83565,83565,76553,76553,78725,78725,332541,332541,177221,177221,193112,193112,58879,58879,45476,45476,69545,69545,63171,63171,53979,53979,461441,461441,60759,60759,86166,86166,92871,92871,67786,67786,1230536,1230536,369539,369539,1093021,1093021,87310,87310,81017,81017,59516,59516,181925,181925,100310,100310,71922,71922,67681,67681,59858,59858,58025,58025,80051,80051,96709,96709,1449945,1449945,1513790,1513790,99661,99661,57810,57810,75572,75572,76411,76411,127445,127445,70206,70206,108897,108897,507427,507427,71260,71260,67502,67502,69409,69409,215336,215336,82322,82322,56186,56186,52430,52430,58969,58969,56272,56272,123815,123815,67733,67733,153408,153408,56910,56910
doubt	139350,139350,55035,55035,56240,56240,65592,65592,86293,86293,56569,56569,93912,93912,108967,108967,488782,488782,287378,287378,65826,65826,62359,62359,71254,71254,64925,64925,68144,68144,295124,295124,63813,63813,69234,69234,0,0,2473380,2473380,79984,79984,676551,676551,59360,59360,60963,60963,246859,246859,67107,67107,202150,202150,61067,61067,70067,70067,94474,94474,91983,91983,130141,130141,141868,141868,58142,58142,126608,126608,100084,100084,98278,98278,1190532,1190532,104216,104216,102843,102843,65341,65341,62577,62577,219461,219461,71290,71290,1504204,1504204,114983,114983,60256,60256,83565,83565,76553,76553,78725,78725,332541,332541,177221,177221,193112,193112,58879,58879,45476,45476,69545,69545,63171,63171,53979,53979,461441,461441,60759,60759,86166,86166,92871,92871,67786,67786,1230536,1230536,369539,369539,1093021,1093021,87310,87310,81017,81017,59516,59516,181925,181925,100310,100310,71922,71922,67681,67681,59858,59858,58025,58025,80051,80051,96709,96709,1449945,1449945,1513790,1513790,99661,99661,57810,57810,75572,75572,76411,76411,127445,127445,70206,70206,108897,108897,507427,507427,71260,71260,67502,67502,69409,69409,215336,215336,82322,82322,56186,56186,52430,52430,58969,58969,56272,56272,123815,123815,67733,67733,153408,153408,56910,56910
first	2416180,2416180,2490567,2490567,2483674,2483674,2481276,2481276,2496799,2496799,2494267,2494267,2417546,2417546,2434539,2434539,2632890,2632890,2287492,2287492,2504954,2504954,2485463,2485463,2464228,2464228,2477787,2477787,2486434,2486434,2257842,2257842,2483875,2483875,2501960,2501960,2473380,2473380,0,0,2497358,2497358,2612543,2612543,2491702,2491702,2498099,2498099,2372553,2372553,2487629,2487629,2362720,2362720,2484183,2484183,2475535,2475535,2469312,2469312,2447787,2447787,2422715,2422715,2420870,2420870,2476426,2476426,2436072,2436072,2448218,2448218,2438774,2438774,1875230,1875230,2469988,2469988,2440025,2440025,2486625,2486625,2492063,2492063,2375163,2375163,2498968,2498968,1731474,1731474,2453109,2453109,2492288,2492288,2475769,2475769,2485763,2485763,2467181,2467181,2330199,2330199,2412875,2412875,2359144,2359144,2485691,2485691,2488198,2488198,2495765,2495765,2477599,2477599,2500375,2500375,2645603,2645603,2489205,2489205,2461186,2461186,2447463,2447463,2483732,2483732,1851012,1851012,2267457,2267457,2850541,2850541,2454054,2454054,2469243,2469243,2503376,2503376,2378853,2378853,2477928,2477928,2481456,2481456,2485937,2485937,2484596,2484596,2479085,2479085,2470383,2470383,2465039,2465039,1748721,1748721,2967654,2967654,2467149,2467149,2490136,2490136,2481964,2481964,2451743,2451743,2442997,2442997,2475436,2475436,2448655,2448655,2257003,2257003,2472890,2472890,2480124,2480124,2480033,2480033,2392956,2392956,2463506,2463506,2493912,2493912,2483702,2483702,2486189,2486189,2478210,2478210,2434291,2434291,2465945,2465945,2380718,2380718,2497892,2497892
for	2416180,2416180,2490567,2490567,2483674,2483674,2481276,2481276,2496799,2496799,2494267,2494267,2417546,2417546,2434539,2434539,2632890,2632890,2287492,2287492,2504954,2504954,2485463,2485463,2464228,2464228,2477787,2477787,2486434,2486434,2257842,2257842,2483875,2483875,2501960,2501960,2473380,2473380,0,0,2497358,2497358,2612543,2612543,2491702,2491702,2498099,2498099,2372553,2372553,2487629,2487629,2362720,2362720,2484183,2484183,2475535,2475535,2469312,2469312,2447787,2447787,2422715,2422715,2420870,2420870,2476426,2476426,2436072,2436072,2448218,2448218,2438774,2438774,1875230,1875230,2469988,2469988,2440025,2440025,2486625,2486625,2492063,2492063,2375163,2375163,2498968,2498968,1731474,1731474,2453109,2453109,2492288,2492288,2475769,2475769,2485763,2485763,2467181,2467181,2330199,2330199,2412875,2412875,2359144,2359144,2485691,2485691,2488198,2488198,2495765,2495765,2477599,2477599,2500375,2500375,2645603,2645603,2489205,2489205,2461186,2461186,2447463,2447463,2483732,2483732,1851012,1851012,2267457,2267457,2850541,2850541,2454054,2454054,2469243,2469243,2503376,2503376,2378853,2378853,2477928,2477928,2481456,2481456,2485937,2485937,2484596,2484596,2479085,2479085,2470383,2470383,2465039,2465039,1748721,1748721,2967654,2967654,2467149,2467149,2490136,2490136,2481964,2481964,2451743,2451743,2442997,2442997,2475436,2475436,2448655,2448655,2257003,2257003,2472890,2472890,2480124,2480124,2480033,2480033,2392956,2392956,2463506,2463506,2493912,2493912,2483702,2483702,2486189,2486189,2478210,2478210,2434291,2434291,2465945,2465945,2380718,2380718,2497892,2497892
from	112298,112298,41011,41011,49930,49930,48384,48384,37591,37591,28597,28597,110594,110594,91529,91529,464410,464410,298060,298060,45256,45256,54787,54787,57894,57894,56043,56043,63948,63948,284946,284946,44219,44219,17158,17158,79984,79984,2497358,2497358,0,0,663061,663061,48064,48064,58045,58045,230915,230915,60777,60777,172956,172956,57667,57667,67817,67817,87762,87762,131613,131613,125431,125431,132726,132726,71840,71840,117346,117346,102506,102506,113178,113178,1182342,1182342,73276,73276,85283,85283,58029,58029,62975,62975,225139,225139,69770,69770,1521152,1521152,126387,126387,56552,56552,77417,77417,68609,68609,85979,85979,312963,312963,164627,164627,236142,236142,63923,63923,74242,74242,72115,72115,74493,74493,56803,56803,420087,420087,62103,62103,81780,81780,104347,104347,67684,67684,1220100,1220100,394275,394275,1054343,1054343,74530,74530,63043,63043,47040,47040,176045,176045,62674,62674,67520,67520,66241,66241,63686,63686,67529,67529,78413,78413,77541,77541,1465559,1465559,1490470,1490470,102265,102265,46276,46276,84028,84028,86557,86557,118383,118383,70544,70544,103515,103515,528269,528269,78644,78644,70382,70382,72801,72801,198228,198228,85518,85518,51590,51590,70058,70058,62705,62705,77588,77588,113103,113103,112351,112351,182406,182406,52482,52482
