	A,After,All,Although,American,An,And,think,this,thought,time,to,told,ought,place,see,seen,shall,should,so,no,not,of,on,one,or,took,upon,was,we,were,what,struck,that,the,there,these,they,me,meeting,must,my,myself,never,is,it,know,long,man,may,he,her,him,his,if,in,and,are,as,at,be,been,for,from,give,had,has,have,God,He,His,History,How,I,when,will,with,would,you,your,As,At,But,Court,Even,For,From,by,can,certain,could,do,doubt,first,University,a,all,also,am,an
Court	98999,98999,22300,22300,30373,30373,34021,34021,40792,40792,0,0,97949,97949,74384,74384,447505,447505,293369,293369,31581,31581,36598,36598,40369,40369,41348,41348,45545,45545,282719,282719,33950,33950,20179,20179,56569,56569,2494267,2494267,28597,28597,661748,661748,29669,29669,39308,39308,223494,223494,40238,40238,174997,174997,40730,40730,48674,48674,69945,69945,108768,108768,109494,109494,118931,118931,53171,53171,101015,101015,81117,81117,90533,90533,1167451,1167451,78903,78903,71176,71176,39866,39866,43308,43308,206826,206826,48453,48453,1509207,1509207,103166,103166,37985,37985,61898,61898,51232,51232,64966,64966,310014,310014,149040,149040,215791,215791,41470,41470,55963,55963,48926,48926,52740,52740,37492,37492,409898,409898,43226,43226,64973,64973,84868,84868,45987,45987,1209537,1209537,371932,371932,1067694,1067694,58451,58451,44596,44596,28661,28661,158822,158822,68665,68665,48967,48967,48328,48328,44843,44843,47638,47638,56786,56786,67994,67994,1452498,1452498,1502715,1502715,78390,78390,27221,27221,61959,61959,66006,66006,105546,105546,53211,53211,86430,86430,515022,515022,63219,63219,54863,54863,56726,56726,192233,192233,63335,63335,33047,33047,50199,50199,41312,41312,58349,58349,98776,98776,91180,91180,164063,164063,32791,32791
Even	98999,98999,22300,22300,30373,30373,34021,34021,40792,40792,0,0,97949,97949,74384,74384,447505,447505,293369,293369,31581,31581,36598,36598,40369,40369,41348,41348,45545,45545,282719,282719,33950,33950,20179,20179,56569,56569,2494267,2494267,28597,28597,661748,661748,29669,29669,39308,39308,223494,223494,40238,40238,174997,174997,40730,40730,48674,48674,69945,69945,108768,108768,109494,109494,118931,118931,53171,53171,101015,101015,81117,81117,90533,90533,1167451,1167451,78903,78903,71176,71176,39866,39866,43308,43308,206826,206826,48453,48453,1509207,1509207,103166,103166,37985,37985,61898,61898,51232,51232,64966,64966,310014,310014,149040,149040,215791,215791,41470,41470,55963,55963,48926,48926,52740,52740,37492,37492,409898,409898,43226,43226,64973,64973,84868,84868,45987,45987,1209537,1209537,371932,371932,1067694,1067694,58451,58451,44596,44596,28661,28661,158822,158822,68665,68665,48967,48967,48328,48328,44843,44843,47638,47638,56786,56786,67994,67994,1452498,1452498,1502715,1502715,78390,78390,27221,27221,61959,61959,66006,66006,105546,105546,53211,53211,86430,86430,515022,515022,63219,63219,54863,54863,56726,56726,192233,192233,63335,63335,33047,33047,50199,50199,41312,41312,58349,58349,98776,98776,91180,91180,164063,164063,32791,32791
For	122244,122244,86317,86317,81426,81426,84510,84510,109499,109499,97949,97949,0,0,103987,103987,495346,495346,223934,223934,100968,100968,98633,98633,78196,78196,92481,92481,93244,93244,253098,253098,89587,89587,104074,104074,93912,93912,2417546,2417546,110594,110594,639859,639859,93744,93744,100569,100569,247969,247969,103347,103347,188292,188292,94041,94041,102887,102887,100736,100736,139929,139929,143829,143829,159900,159900,102074,102074,173010,173010,123914,123914,126076,126076,1230824,1230824,122498,122498,113253,113253,94589,94589,109753,109753,197395,197395,110256,110256,1481812,1481812,131647,131647,103092,103092,113193,113193,100223,100223,118919,118919,306039,306039,155757,155757,198792,198792,98093,98093,104802,104802,108515,108515,107139,107139,105303,105303,487079,487079,106681,106681,112468,112468,137655,137655,108066,108066,1249328,1249328,355015,355015,1033401,1033401,87546,87546,103487,103487,100810,100810,222673,222673,122956,122956,115644,115644,107257,107257,107436,107436,103955,103955,109911,109911,129663,129663,1420161,1420161,1453488,1453488,121979,121979,99420,99420,112254,112254,101909,101909,112269,112269,105690,105690,124409,124409,460809,460809,112168,112168,121454,121454,122245,122245,190634,190634,112246,112246,98678,98678,92720,92720,91411,91411,106008,106008,127025,127025,117711,117711,156882,156882,97662,97662
From	122244,122244,86317,86317,81426,81426,84510,84510,109499,109499,97949,97949,0,0,103987,103987,495346,495346,223934,223934,100968,100968,98633,98633,78196,78196,92481,92481,93244,93244,253098,253098,89587,89587,104074,104074,93912,93912,2417546,2417546,110594,110594,639859,639859,93744,93744,100569,100569,247969,247969,103347,103347,188292,188292,94041,94041,102887,102887,100736,100736,139929,139929,143829,143829,159900,159900,102074,102074,173010,173010,123914,123914,126076,126076,1230824,1230824,122498,122498,113253,113253,94589,94589,109753,109753,197395,197395,110256,110256,1481812,1481812,131647,131647,103092,103092,113193,113193,100223,100223,118919,118919,306039,306039,155757,155757,198792,198792,98093,98093,104802,104802,108515,108515,107139,107139,105303,105303,487079,487079,106681,106681,112468,112468,137655,137655,108066,108066,1249328,1249328,355015,355015,1033401,1033401,87546,87546,103487,103487,100810,100810,222673,222673,122956,122956,115644,115644,107257,107257,107436,107436,103955,103955,109911,109911,129663,129663,1420161,1420161,1453488,1453488,121979,121979,99420,99420,112254,112254,101909,101909,112269,112269,105690,105690,124409,124409,460809,460809,112168,112168,121454,121454,122245,122245,190634,190634,112246,112246,98678,98678,92720,92720,91411,91411,106008,106008,127025,127025,117711,117711,156882,156882,97662,97662
God	101661,101661,76474,76474,87837,87837,77379,77379,97926,97926,74384,74384,103987,103987,0,0,457173,457173,259325,259325,93379,93379,90890,90890,68565,68565,76446,76446,93203,93203,241253,241253,77386,77386,81707,81707,108967,108967,2434539,2434539,91529,91529,628344,628344,91171,91171,96666,96666,247908,247908,96072,96072,176179,176179,95982,95982,86836,86836,102209,102209,157570,157570,137964,137964,147329,147329,107201,107201,167321,167321,136851,136851,138253,138253,1231321,1231321,108559,108559,79960,79960,89474,89474,105834,105834,193758,193758,102245,102245,1518761,1518761,121512,121512,98595,98595,98488,98488,102122,102122,116832,116832,294588,294588,152162,152162,234127,234127,104804,104804,112071,112071,91114,91114,105090,105090,101682,101682,437674,437674,103040,103040,121893,121893,134526,134526,103327,103327,1267595,1267595,391712,391712,1026144,1026144,81735,81735,95024,95024,89973,89973,221530,221530,108445,108445,112685,112685,104778,104778,104625,104625,105402,105402,105494,105494,116032,116032,1435878,1435878,1451607,1451607,124366,124366,86347,86347,120691,120691,112652,112652,137068,137068,93937,93937,110278,110278,481722,481722,113867,113867,117415,117415,118416,118416,183259,183259,119375,119375,92983,92983,107529,107529,98492,98492,111635,111635,110894,110894,140180,140180,200419,200419,97353,97353
He	101661,101661,76474,76474,87837,87837,77379,77379,97926,97926,74384,74384,103987,103987,0,0,457173,457173,259325,259325,93379,93379,90890,90890,68565,68565,76446,76446,93203,93203,241253,241253,77386,77386,81707,81707,108967,108967,2434539,2434539,91529,91529,628344,628344,91171,91171,96666,96666,247908,247908,96072,96072,176179,176179,95982,95982,86836,86836,102209,102209,157570,157570,137964,137964,147329,147329,107201,107201,167321,167321,136851,136851,138253,138253,1231321,1231321,108559,108559,79960,79960,89474,89474,105834,105834,193758,193758,102245,102245,1518761,1518761,121512,121512,98595,98595,98488,98488,102122,102122,116832,116832,294588,294588,152162,152162,234127,234127,104804,104804,112071,112071,91114,91114,105090,105090,101682,101682,437674,437674,103040,103040,121893,121893,134526,134526,103327,103327,1267595,1267595,391712,391712,1026144,1026144,81735,81735,95024,95024,89973,89973,221530,221530,108445,108445,112685,112685,104778,104778,104625,104625,105402,105402,105494,105494,116032,116032,1435878,1435878,1451607,1451607,124366,124366,86347,86347,120691,120691,112652,112652,137068,137068,93937,93937,110278,110278,481722,481722,113867,113867,117415,117415,118416,118416,183259,183259,119375,119375,92983,92983,107529,107529,98492,98492,111635,111635,110894,110894,140180,140180,200419,200419,97353,97353
His	448048,448048,442977,442977,460832,460832,451238,451238,474259,474259,447505,447505,495346,495346,457173,457173,0,0,594466,594466,458050,458050,459553,459553,441592,441592,442683,442683,480500,480500,571168,571168,467449,467449,453840,453840,488782,488782,2632890,2632890,464410,464410,454827,454827,465586,465586,471707,471707,618337,618337,476587,476587,465146,465146,474373,474373,476205,476205,472720,472720,538873,538873,516543,516543,489488,489488,488652,488652,531300,531300,507470,507470,522682,522682,1596658,1596658,482736,482736,450871,450871,464197,464197,481377,481377,571241,571241,479142,479142,1897262,1897262,497359,497359,476552,476552,489315,489315,484841,484841,482723,482723,540041,540041,535669,535669,614684,614684,475851,475851,485366,485366,473943,473943,486627,486627,476697,476697,255041,255041,479861,479861,494272,494272,519165,519165,479706,479706,1630114,1630114,776327,776327,798763,798763,465574,465574,467835,467835,462296,462296,599921,599921,480300,480300,479422,479422,479569,479569,483342,483342,483881,483881,487511,487511,487831,487831,1808861,1808861,1199432,1199432,497251,497251,463408,463408,473556,473556,487793,487793,520621,520621,469062,469062,470543,470543,819297,819297,494966,494966,493124,493124,493223,493223,579998,579998,486374,486374,466764,466764,480030,480030,469265,469265,491164,491164,488611,488611,514931,514931,586002,586002,470882,470882
History	448048,448048,442977,442977,460832,460832,451238,451238,474259,474259,447505,447505,495346,495346,457173,457173,0,0,594466,594466,458050,458050,459553,459553,441592,441592,442683,442683,480500,480500,571168,571168,467449,467449,453840,453840,488782,488782,2632890,2632890,464410,464410,454827,454827,465586,465586,471707,471707,618337,618337,476587,476587,465146,465146,474373,474373,476205,476205,472720,472720,538873,538873,516543,516543,489488,489488,488652,488652,531300,531300,507470,507470,522682,522682,1596658,1596658,482736,482736,450871,450871,464197,464197,481377,481377,571241,571241,479142,479142,1897262,1897262,497359,497359,476552,476552,489315,489315,484841,484841,482723,482723,540041,540041,535669,535669,614684,614684,475851,475851,485366,485366,473943,473943,486627,486627,476697,476697,255041,255041,479861,479861,494272,494272,519165,519165,479706,479706,1630114,1630114,776327,776327,798763,798763,465574,465574,467835,467835,462296,462296,599921,599921,480300,480300,479422,479422,479569,479569,483342,483342,483881,483881,487511,487511,487831,487831,1808861,1808861,1199432,1199432,497251,497251,463408,463408,473556,473556,487793,487793,520621,520621,469062,469062,470543,470543,819297,819297,494966,494966,493124,493124,493223,493223,579998,579998,486374,486374,466764,466764,480030,480030,469265,469265,491164,491164,488611,488611,514931,514931,586002,586002,470882,470882
How	271060,271060,282765,282765,276044,276044,273156,273156,293449,293449,293369,293369,223934,223934,259325,259325,594466,594466,0,0,296480,296480,277343,277343,257500,257500,272707,272707,284802,284802,287184,287184,278145,278145,300464,300464,287378,287378,2287492,2287492,298060,298060,668625,668625,294910,294910,298927,298927,318615,318615,287479,287479,259744,259744,289957,289957,285833,285833,279922,279922,299657,299657,289121,289121,278150,278150,283662,283662,292196,292196,265970,265970,264678,264678,1363598,1363598,274932,274932,263599,263599,288343,288343,297493,297493,281149,281149,302660,302660,1552760,1552760,289937,289937,297610,297610,282777,282777,295159,295159,289803,289803,325145,325145,285561,285561,323268,323268,283749,283749,296294,296294,294107,294107,288131,288131,304103,304103,616505,616505,288673,288673,270190,270190,288047,288047,289254,289254,1372104,1372104,447747,447747,1034219,1034219,266576,266576,283237,283237,299458,299458,365693,365693,275590,275590,287788,287788,294057,294057,282530,282530,284637,284637,285615,285615,291161,291161,1434821,1434821,1308456,1308456,277213,277213,294182,294182,283956,283956,254643,254643,264989,264989,271462,271462,266199,266199,464229,464229,284408,284408,303856,303856,306937,306937,278394,278394,284064,284064,296254,296254,293174,293174,291637,291637,287424,287424,267973,267973,300843,300843,287006,287006,291548,291548
I	271060,271060,282765,282765,276044,276044,273156,273156,293449,293449,293369,293369,223934,223934,259325,259325,594466,594466,0,0,296480,296480,277343,277343,257500,257500,272707,272707,284802,284802,287184,287184,278145,278145,300464,300464,287378,287378,2287492,2287492,298060,298060,668625,668625,294910,294910,298927,298927,318615,318615,287479,287479,259744,259744,289957,289957,285833,285833,279922,279922,299657,299657,289121,289121,278150,278150,283662,283662,292196,292196,265970,265970,264678,264678,1363598,1363598,274932,274932,263599,263599,288343,288343,297493,297493,281149,281149,302660,302660,1552760,1552760,289937,289937,297610,297610,282777,282777,295159,295159,289803,289803,325145,325145,285561,285561,323268,323268,283749,283749,296294,296294,294107,294107,288131,288131,304103,304103,616505,616505,288673,288673,270190,270190,288047,288047,289254,289254,1372104,1372104,447747,447747,1034219,1034219,266576,266576,283237,283237,299458,299458,365693,365693,275590,275590,287788,287788,294057,294057,282530,282530,284637,284637,285615,285615,291161,291161,1434821,1434821,1308456,1308456,277213,277213,294182,294182,283956,283956,254643,254643,264989,264989,271462,271462,266199,266199,464229,464229,284408,284408,303856,303856,306937,306937,278394,278394,284064,284064,296254,296254,293174,293174,291637,291637,287424,287424,267973,267973,300843,300843,287006,287006,291548,291548
